id,name,part_number,manufacturer,category,material,weight,price,detailed_description
180,Fuel Tank Vent Hose Kit,FTVH-180,FuelFlow,Fuel System,Rubber,0.6 kg,20.00,"Fuel tank vent hose kit designed for reliable fuel tank venting."
181,Fuel Tank Vent Cap Kit,FTVC-181,FuelFlow,Fuel System,Plastic,0.2 kg,10.00,"Fuel tank vent cap kit designed for secure and reliable fuel tank venting."
182,Fuel Tank Vent Valve Assembly Kit,FTVVA-182,FuelFlow,Fuel System,Plastic,0.6 kg,25.00,"Fuel tank vent valve assembly kit designed for reliable fuel tank venting."
183,Fuel Tank Vent Solenoid Kit,FTVS-183,FuelFlow,Fuel System,Plastic,0.3 kg,20.00,"Fuel tank vent solenoid kit designed for reliable fuel tank venting."
184,Fuel Tank Vent Actuator Kit,FTVA-184,FuelFlow,Fuel System,Plastic,0.3 kg,20.00,"Fuel tank vent actuator kit designed for reliable fuel tank venting."
185,Fuel Tank Vent Control Module Kit,FTVCM-185,FuelFlow,Fuel System,Plastic,0.6 kg,35.00,"Fuel tank vent control module kit designed for reliable fuel tank venting."
186,Fuel Tank Vent Control Valve Kit,FTVCV-186,FuelFlow,Fuel System,Plastic,0.3 kg,20.00,"Fuel tank vent control valve kit designed for reliable fuel tank venting."
187,Fuel Tank Vent Control Solenoid Kit,FTVCS-187,FuelFlow,Fuel System,Plastic,0.3 kg,20.00,"Fuel tank vent control solenoid kit designed for reliable fuel tank venting."
188,Fuel Tank Vent Control Actuator Kit,FTVCA-188,FuelFlow,Fuel System,Plastic,0.3 kg,20.00,"Fuel tank vent control actuator kit designed for reliable fuel tank venting."
189,Fuel Tank Vent Control Module Assembly Kit,FTVCMA-189,FuelFlow,Fuel System,Plastic,0.6 kg,35.00,"Fuel tank vent control module assembly kit designed for reliable fuel tank venting."
190,Fuel Tank Vent Control Valve Assembly Kit,FTVCVA-190,FuelFlow,Fuel System,Plastic,0.6 kg,25.00,"Fuel tank vent control valve assembly kit designed for reliable fuel tank venting."
191,GPS Navigation Device,GPS-191,NavMaster,Electronics,Plastic,0.7 kg,170.00,"Advanced GPS navigation device designed for accurate and reliable navigation."
192,Backup Camera System,BC-192,VisionPro,Electronics,Plastic,0.4 kg,60.00,"Backup camera system designed for improved rear visibility and safety."
193,Parking Sensor Array,PS-193,SensorGuard,Electronics,Plastic,0.3 kg,40.00,"Parking sensor array designed for accurate and reliable parking assistance."
194,Bluetooth Module Set,BT-194,ConnectPro,Electronics,Plastic,0.2 kg,30.00,"Bluetooth module set designed for wireless connectivity and convenience."
195,USB Port Set,USB-195,ConnectPro,Electronics,Plastic,0.2 kg,20.00,"USB port set designed for easy and convenient device charging and connectivity."
196,Auxiliary Input Set,AUX-196,ConnectPro,Electronics,Plastic,0.2 kg,20.00,"Auxiliary input set designed for easy and convenient audio connectivity."
197,Cigarette Lighter Adapter,CL-197,PowerPlus,Electrical,Plastic,0.2 kg,15.00,"Plastic cigarette lighter adapter designed for convenient power access."
198,Fuse Box Assembly,FB-198,PowerGuard,Electrical,Plastic,0.7 kg,30.00,"Plastic fuse box assembly designed for safe and reliable electrical protection."
199,Battery Cable Assembly,BC-199,PowerPlus,Electrical,Copper,0.7 kg,25.00,"Copper battery cable assembly designed for reliable electrical connection."
200,Spark Plug Wire Assembly,SPW-200,SparkMaster,Ignition,Copper,0.4 kg,20.00,"Copper spark plug wire assembly designed for reliable ignition and performance."
201,Distributor Cap Assembly,DC-201,SparkMaster,Ignition,Plastic,0.4 kg,25.00,"Plastic distributor cap assembly designed for reliable ignition timing."
202,Ignition Coil Assembly,IC-202,SparkMaster,Ignition,Plastic,0.7 kg,40.00,"Ignition coil assembly designed for reliable and powerful spark delivery."
203,Oxygen Sensor Assembly,OS-203,SensorGuard,Exhaust,Ceramic,0.4 kg,60.00,"Ceramic oxygen sensor assembly designed for accurate emissions monitoring."
204,Mass Air Flow Sensor Assembly,MAF-204,SensorGuard,Engine,Plastic,0.5 kg,70.00,"Mass air flow sensor assembly designed for accurate air intake measurement."
205,Throttle Position Sensor Assembly,TPS-205,SensorGuard,Engine,Plastic,0.4 kg,50.00,"Throttle position sensor assembly designed for accurate throttle position monitoring."
206,Crankshaft Position Sensor Assembly,CPS-206,SensorGuard,Engine,Plastic,0.4 kg,40.00,"Crankshaft position sensor assembly designed for accurate engine timing."
207,Camshaft Position Sensor Assembly,CAM-207,SensorGuard,Engine,Plastic,0.4 kg,40.00,"Camshaft position sensor assembly designed for accurate engine timing."
208,Knock Sensor Assembly,KS-208,SensorGuard,Engine,Plastic,0.4 kg,35.00,"Knock sensor assembly designed for accurate engine knock detection."
209,Coolant Temperature Sensor Assembly,CTS-209,SensorGuard,Cooling,Plastic,0.4 kg,30.00,"Coolant temperature sensor assembly designed for accurate engine temperature monitoring."
210,Oil Pressure Sensor Assembly,OPS-210,SensorGuard,Engine,Plastic,0.4 kg,30.00,"Oil pressure sensor assembly designed for accurate oil pressure monitoring."
211,Fuel Pressure Sensor Assembly,FPS-211,SensorGuard,Fuel System,Plastic,0.4 kg,30.00,"Fuel pressure sensor assembly designed for accurate fuel pressure monitoring."
212,MAP Sensor Assembly,MAP-212,SensorGuard,Engine,Plastic,0.4 kg,35.00,"MAP sensor assembly designed for accurate manifold absolute pressure monitoring."
213,EGR Valve Assembly,EGR-213,EmissionPro,Exhaust,Steel,0.7 kg,60.00,"EGR valve assembly designed for reduced emissions and improved engine performance."
214,PCV Valve Assembly,PCV-214,EmissionPro,Exhaust,Plastic,0.3 kg,20.00,"PCV valve assembly designed for reduced emissions and improved engine performance."
215,Charcoal Canister Assembly,CC-215,EmissionPro,Exhaust,Plastic,0.7 kg,40.00,"Charcoal canister assembly designed for reduced emissions and improved engine performance."
216,Air Pump Assembly,AP-216,EmissionPro,Exhaust,Steel,1.3 kg,60.00,"Air pump assembly designed for reduced emissions and improved engine performance."
217,Fuel Pressure Regulator Assembly,FPR-217,FuelFlow,Fuel System,Steel,0.7 kg,40.00,"Fuel pressure regulator assembly designed for accurate fuel pressure control."
218,Fuel Filter Assembly,FF-218,FuelFlow,Fuel System,Paper,0.4 kg,25.00,"Fuel filter assembly designed to remove contaminants and improve fuel system performance."
219,Fuel Pump Relay Assembly,FPR-219,FuelFlow,Fuel System,Plastic,0.3 kg,20.00,"Fuel pump relay assembly designed for reliable fuel pump operation."
220,Fuel Tank Sending Unit Assembly,FTSU-220,FuelFlow,Fuel System,Plastic,0.7 kg,40.00,"Fuel tank sending unit assembly designed for accurate fuel level monitoring."
221,Fuel Injector Seal Assembly,FIS-221,FuelFlow,Fuel System,Rubber,0.3 kg,15.00,"Fuel injector seal assembly designed for reliable fuel injector operation."
222,Fuel Rail Assembly,FR-222,FuelFlow,Fuel System,Aluminum,0.7 kg,60.00,"Aluminum fuel rail assembly designed for reliable fuel delivery."
223,Fuel Return Line Assembly,FRL-223,FuelFlow,Fuel System,Steel,0.7 kg,30.00,"Steel fuel return line assembly designed for reliable fuel return."
224,Fuel Cap Assembly,FC-224,FuelFlow,Fuel System,Plastic,0.3 kg,15.00,"Plastic fuel cap assembly designed for secure and reliable fuel tank sealing."
225,Fuel Gauge Assembly,FG-225,FuelFlow,Fuel System,Plastic,0.4 kg,25.00,"Fuel gauge assembly designed for accurate fuel level monitoring."
226,Fuel Pump Module Assembly,FPM-226,FuelFlow,Fuel System,Plastic,1.3 kg,60.00,"Fuel pump module assembly designed for reliable fuel pump operation."
227,Fuel Injector Cleaner Assembly,FIC-227,FuelFlow,Fuel System,Liquid,0.7 kg,20.00,"Liquid fuel injector cleaner assembly designed to remove deposits and improve fuel system performance."
228,Fuel Additive Assembly,FA-228,FuelFlow,Fuel System,Liquid,0.7 kg,20.00,"Liquid fuel additive assembly designed to improve fuel system performance and efficiency."
229,Fuel Stabilizer Assembly,FS-229,FuelFlow,Fuel System,Liquid,0.7 kg,20.00,"Liquid fuel stabilizer assembly designed to extend fuel life and improve performance."
230,Fuel System Cleaner Assembly,FSC-230,FuelFlow,Fuel System,Liquid,0.7 kg,20.00,"Liquid fuel system cleaner assembly designed to remove deposits and improve performance."
351,Oxygen Sensor,O2S-351,SensorTech,Exhaust,Ceramic,0.1 kg,35.00,"Precise oxygen sensor for accurate fuel mixture control."
352,Exhaust Manifold Gasket,EMG-352,GasketPro,Exhaust,Steel,0.2 kg,15.00,"Durable exhaust manifold gasket for a leak-free seal."
353,Catalytic Converter,CC-353,CleanAir,Exhaust,Ceramic,5.0 kg,300.00,"High-efficiency catalytic converter for reduced emissions."
354,Muffler,MFL-354,SoundQuell,Exhaust,Steel,3.0 kg,100.00,"Durable and quiet muffler for reduced noise pollution."
355,Tailpipe,TP-355,ExhaustPro,Exhaust,Steel,1.5 kg,50.00,"Standard tailpipe for exhaust system completion."
356,Fuel Injector,FI-356,FuelFlow,Fuel System,Aluminum,0.1 kg,75.00,"Precise fuel injector for optimal fuel delivery."
357,Fuel Rail,FR-357,FuelFlow,Fuel System,Aluminum,0.5 kg,50.00,"Durable fuel rail for secure fuel injector mounting."
358,Fuel Pump,FP-358,FuelFlow,Fuel System,Steel,1.0 kg,150.00,"High-pressure fuel pump for reliable fuel delivery."
359,Fuel Filter,FF-359,FuelFlow,Fuel System,Paper,0.2 kg,20.00,"High-efficiency fuel filter for clean fuel delivery."
360,Throttle Body,TB-360,AirFlow,Intake,Plastic,0.8 kg,100.00,"Precise throttle body for accurate air intake control."
361,Air Filter,AF-361,AirFlow,Intake,Paper,0.3 kg,25.00,"High-efficiency air filter for clean air intake."
362,Mass Airflow Sensor,MAF-362,SensorTech,Intake,Plastic,0.2 kg,60.00,"Accurate mass airflow sensor for precise fuel mixture control."
363,Intake Manifold Gasket,IMG-363,GasketPro,Intake,Steel,0.2 kg,15.00,"Durable intake manifold gasket for a leak-free seal."
364,Spark Plug,SP-364,SparkPro,Ignition,Ceramic,0.05 kg,10.00,"High-performance spark plug for efficient combustion."
365,Ignition Coil,IC-365,SparkPro,Ignition,Plastic,0.3 kg,50.00,"Reliable ignition coil for consistent spark delivery."
366,Distributor Cap,DC-366,SparkPro,Ignition,Plastic,0.1 kg,20.00,"Durable distributor cap for reliable spark distribution."
367,Rotor,ROT-367,SparkPro,Ignition,Plastic,0.05 kg,15.00,"Precise rotor for efficient spark distribution."
368,Timing Belt,TB-368,BeltTech,Engine,Rubber,1.0 kg,40.00,"Durable timing belt for precise engine timing."
369,Water Pump,WP-369,CoolFlow,Cooling,Metal,2.0 kg,100.00,"Efficient water pump for reliable engine cooling."
370,Thermostat,TH-370,CoolFlow,Cooling,Metal,0.2 kg,20.00,"Precise thermostat for optimal engine temperature control."
371,Radiator,RAD-371,CoolFlow,Cooling,Aluminum,5.0 kg,200.00,"Efficient radiator for effective engine cooling."
372,Coolant Hose,CH-372,CoolFlow,Cooling,Rubber,0.5 kg,15.00,"Durable coolant hose for reliable coolant circulation."
373,Brake Pads,BP-373,BrakePro,Brakes,Ceramic,0.5 kg,40.00,"High-performance brake pads for superior stopping power."
374,Brake Rotors,BR-374,BrakePro,Brakes,Steel,2.0 kg,80.00,"Durable brake rotors for reliable braking performance."
375,Brake Calipers,BC-375,BrakePro,Brakes,Aluminum,1.0 kg,100.00,"Precise brake calipers for effective braking."
376,Brake Master Cylinder,BMC-376,BrakePro,Brakes,Steel,0.5 kg,60.00,"Reliable brake master cylinder for consistent braking pressure."
377,Clutch Disc,CD-377,ClutchPro,Transmission,Steel,0.5 kg,50.00,"Durable clutch disc for smooth gear shifting."
378,Clutch Pressure Plate,CPP-378,ClutchPro,Transmission,Steel,1.0 kg,75.00,"Reliable clutch pressure plate for consistent clutch engagement."
379,Clutch Throwout Bearing,CTB-379,ClutchPro,Transmission,Steel,0.2 kg,25.00,"Durable clutch throwout bearing for smooth clutch operation."
380,Transmission Fluid,TF-380,TransPro,Transmission,Fluid,1.0 kg,20.00,"High-quality transmission fluid for smooth shifting."
381,Axle Shaft,AS-381,DriveLine,Drivetrain,Steel,2.0 kg,100.00,"Durable axle shaft for reliable power transfer."
382,Drive Shaft,DS-382,DriveLine,Drivetrain,Steel,3.0 kg,150.00,"Reliable drive shaft for efficient power transfer."
383,Wheel Bearing,WB-383,BearingPro,Drivetrain,Steel,0.5 kg,30.00,"Durable wheel bearing for smooth wheel rotation."
384,CV Joint,CVJ-384,DriveLine,Drivetrain,Steel,1.0 kg,75.00,"Reliable CV joint for smooth power transfer."
385,Power Steering Pump,PSP-385,SteeringPro,Steering,Aluminum,2.0 kg,150.00,"Efficient power steering pump for smooth steering."
386,Power Steering Belt,PSB-386,BeltTech,Steering,Rubber,0.5 kg,20.00,"Durable power steering belt for reliable power steering."
387,Power Steering Fluid,PSF-387,SteeringPro,Steering,Fluid,1.0 kg,25.00,"High-quality power steering fluid for smooth steering."
388,Steering Rack,SR-388,SteeringPro,Steering,Steel,3.0 kg,200.00,"Durable steering rack for precise steering control."
389,Tie Rod End,TRE-389,SteeringPro,Steering,Steel,0.2 kg,20.00,"Reliable tie rod end for precise steering."
390,Ball Joint,BJ-390,SteeringPro,Steering,Steel,0.3 kg,25.00,"Durable ball joint for smooth steering."
391,Headlight Assembly,HLA-391,LightPro,Lighting,Plastic,1.0 kg,80.00,"Complete headlight assembly for improved visibility."
392,Taillight Assembly,TLA-392,LightPro,Lighting,Plastic,1.0 kg,80.00,"Complete taillight assembly for improved visibility."
393,Turn Signal Switch,TSS-393,SwitchPro,Electrical,Plastic,0.1 kg,15.00,"Reliable turn signal switch for safe lane changes."
394,Wiper Motor,WM-394,MotorPro,Electrical,Metal,1.0 kg,75.00,"Durable wiper motor for reliable windshield wiping."
395,Battery,BAT-395,PowerSource,Electrical,Lead-Acid,10.0 kg,100.00,"High-capacity battery for reliable power supply."
396,Alternator,ALT-396,MotorPro,Electrical,Metal,5.0 kg,200.00,"Efficient alternator for reliable power generation."
397,Starter Motor,SM-397,MotorPro,Electrical,Metal,3.0 kg,150.00,"Powerful starter motor for reliable engine starting."
398,Fuse Box,FB-398,ElectricalPro,Electrical,Plastic,0.5 kg,30.00,"Reliable fuse box for circuit protection."
399,Relay,RLY-399,ElectricalPro,Electrical,Plastic,0.1 kg,10.00,"Reliable relay for circuit switching."
400,Wiring Harness,WH-400,ElectricalPro,Electrical,Plastic,2.0 kg,100.00,"Complete wiring harness for reliable electrical connections."
401,Windshield Wiper Blade,WWB-401,WiperPro,Body,Rubber,0.2 kg,10.00,"Durable windshield wiper blade for clear visibility."
402,Side Mirror,SM-402,MirrorPro,Body,Plastic,0.5 kg,40.00,"Durable side mirror for improved visibility."
403,Door Handle,DH-403,DoorPro,Body,Plastic,0.3 kg,20.00,"Durable door handle for easy door access."
404,Bumper,BUM-404,BodyPro,Body,Plastic,5.0 kg,150.00,"Durable bumper for vehicle protection."
405,Fender,FEN-405,BodyPro,Body,Steel,2.0 kg,100.00,"Durable fender for wheel protection."
406,Hood,HOOD-406,BodyPro,Body,Steel,5.0 kg,200.00,"Durable hood for engine protection."
407,Trunk Lid,TL-407,BodyPro,Body,Steel,5.0 kg,200.00,"Durable trunk lid for cargo access."
408,Door,DOOR-408,BodyPro,Body,Steel,10.0 kg,400.00,"Durable door for passenger access."
409,Quarter Panel,QP-409,BodyPro,Body,Steel,3.0 kg,150.00,"Durable quarter panel for vehicle body protection."
410,Roof Panel,RP-410,BodyPro,Body,Steel,5.0 kg,250.00,"Durable roof panel for vehicle protection."
411,Floor Pan,FP-411,BodyPro,Body,Steel,10.0 kg,500.00,"Durable floor pan for vehicle structural integrity."
412,Dashboard,DASH-412,InteriorPro,Interior,Plastic,3.0 kg,150.00,"Durable dashboard for instrument display."
413,Steering Wheel,SW-413,InteriorPro,Interior,Plastic,1.0 kg,80.00,"Durable steering wheel for vehicle control."
414,Seat,SEA-414,InteriorPro,Interior,Fabric,10.0 kg,200.00,"Comfortable seat for passenger comfort."
415,Seatbelt,SB-415,InteriorPro,Interior,Fabric,1.0 kg,50.00,"Durable seatbelt for passenger safety."
416,Floor Mat,FM-416,InteriorPro,Interior,Fabric,0.5 kg,20.00,"Durable floor mat for interior protection."
417,Sun Visor,SV-417,InteriorPro,Interior,Plastic,0.2 kg,10.00,"Durable sun visor for sun protection."
418,Airbag,AB-418,SafetyPro,Safety,Plastic,1.0 kg,150.00,"Safety airbag for passenger protection."
419,Seatbelt Pre-tensioner,SBP-419,SafetyPro,Safety,Metal,0.5 kg,75.00,"Safety seatbelt pre-tensioner for improved passenger safety."
420,Anti-lock Braking System (ABS) Module,ABS-420,SafetyPro,Safety,Electronic,1.0 kg,200.00,"Safety ABS module for improved braking control."
421,Electronic Stability Control (ESC) Module,ESC-421,SafetyPro,Safety,Electronic,1.0 kg,250.00,"Safety ESC module for improved vehicle stability."
422,Tire Pressure Monitoring System (TPMS) Sensor,TPMS-422,SensorTech,Safety,Electronic,0.1 kg,25.00,"Safety TPMS sensor for monitoring tire pressure."
423,Headlamp Switch,HS-423,SwitchPro,Electrical,Plastic,0.1 kg,15.00,"Reliable headlamp switch for headlight control."
424,Turn Signal Lever,TSL-424,SwitchPro,Electrical,Plastic,0.1 kg,15.00,"Reliable turn signal lever for turn signal control."
425,Windshield Washer Fluid Reservoir,WWFR-425,FluidPro,Body,Plastic,1.0 kg,25.00,"Durable windshield washer fluid reservoir for windshield cleaning."
426,Front Grille,FG-426,BodyPro,Body,Plastic,2.0 kg,100.00,"Durable front grille for vehicle aesthetics."
427,Rear Bumper Reflector,RBR-427,LightPro,Lighting,Plastic,0.1 kg,10.00,"Durable rear bumper reflector for improved visibility."
428,Side Marker Light,SML-428,LightPro,Lighting,Plastic,0.1 kg,10.00,"Durable side marker light for improved visibility."
429,License Plate Lamp,LPL-429,LightPro,Lighting,Plastic,0.1 kg,10.00,"Durable license plate lamp for improved visibility."
430,Brake Light Switch,BLS-430,SwitchPro,Electrical,Plastic,0.1 kg,15.00,"Reliable brake light switch for brake light activation."
431,Reverse Light Switch,RLS-431,SwitchPro,Electrical,Plastic,0.1 kg,15.00,"Reliable reverse light switch for reverse light activation."
432,Horn,HORN-432,SoundPro,Electrical,Metal,0.5 kg,30.00,"Durable horn for audible warning."
433,Door Lock Actuator,DLA-433,DoorPro,Body,Electronic,0.2 kg,30.00,"Reliable door lock actuator for door locking."
434,Power Window Regulator,PWR-434,DoorPro,Body,Electronic,0.5 kg,50.00,"Reliable power window regulator for window control."
435,Sunroof Motor,SRM-435,DoorPro,Body,Electronic,1.0 kg,100.00,"Reliable sunroof motor for sunroof control."
436,Climate Control Module,CCM-436,ClimatePro,Interior,Electronic,1.0 kg,150.00,"Reliable climate control module for climate control."
437,Heater Core,HC-437,ClimatePro,Interior,Metal,1.0 kg,100.00,"Durable heater core for cabin heating."
438,AC Compressor,ACC-438,ClimatePro,Interior,Metal,3.0 kg,200.00,"Efficient AC compressor for cabin cooling."
439,Evaporator,EVA-439,ClimatePro,Interior,Aluminum,1.0 kg,150.00,"Efficient evaporator for cabin cooling."
440,Condenser,CON-440,ClimatePro,Interior,Aluminum,2.0 kg,150.00,"Efficient condenser for cabin cooling."
441,Control Arm,CA-441,SuspensionPro,Suspension,Steel,1.0 kg,50.00,"Durable control arm for suspension stability."
442,Ball Joint,BJ-442,SuspensionPro,Suspension,Steel,0.3 kg,25.00,"Durable ball joint for suspension movement."
443,Shock Absorber,SA-443,SuspensionPro,Suspension,Steel,1.0 kg,75.00,"Durable shock absorber for ride comfort."
444,Coil Spring,CS-444,SuspensionPro,Suspension,Steel,2.0 kg,100.00,"Durable coil spring for suspension support."
445,Sway Bar,SB-445,SuspensionPro,Suspension,Steel,2.0 kg,100.00,"Durable sway bar for vehicle stability."
446,Strut Mount,SM-446,SuspensionPro,Suspension,Rubber,0.5 kg,30.00,"Durable strut mount for suspension support."
447,Wheel Hub,WH-447,Drivetrain,Drivetrain,Steel,1.0 kg,50.00,"Durable wheel hub for wheel mounting."
448,Wheel Stud,WS-448,Drivetrain,Drivetrain,Steel,0.1 kg,5.00,"Durable wheel stud for wheel mounting."
449,Oil Filter,OF-449,AutoPartsCo,Engine,Steel,0.5 kg,25.00,"High-efficiency oil filter designed to remove contaminants and extend engine life."
450,Brake Pad Set,BP-450,BrakeMasters,Brakes,Composite,1.2 kg,75.00,"Durable brake pad set providing excellent stopping power and reduced noise."
451,Starter Motor,SM-451,PowerStart,Electrical,Aluminum,4.0 kg,150.00,"Reliable starter motor designed for quick engine starts in all conditions."
452,Radiator,RAD-452,CoolTech,Cooling,Aluminum,2.5 kg,120.00,"High-performance radiator for optimal engine cooling and temperature regulation."
453,Timing Belt,TB-453,TimingPro,Engine,Rubber,0.3 kg,20.00,"Durable timing belt designed for precise timing and engine performance."
454,Fuel Injector,FJ-454,FuelFlow,Fuel System,Plastic,0.15 kg,35.00,"Precision fuel injector for optimal fuel delivery and combustion efficiency."
455,Alternator,ALT-455,PowerGen,Electrical,Aluminum,3.5 kg,130.00,"High-output alternator designed for reliable electrical power generation."
456,Brake Rotor,BR-456,BrakeMasters,Brakes,Cast Iron,5.0 kg,90.00,"Performance brake rotor for improved braking efficiency and heat dissipation."
457,Throttle Body,TB-457,AirFlow,Fuel System,Aluminum,1.0 kg,60.00,"High-performance throttle body designed for improved air intake and engine responsiveness."
458,Exhaust Manifold,EM-458,ExhaustPro,Exhaust,Cast Iron,4.0 kg,110.00,"Durable exhaust manifold for efficient exhaust flow and reduced back pressure."
459,Wheel Bearing,WB-459,AutoPartsCo,Chassis,Steel,0.8 kg,45.00,"High-quality wheel bearing designed for smooth wheel rotation and longevity."
460,Shock Absorber,SA-460,ShockMaster,Suspension,Steel,2.0 kg,80.00,"Adjustable shock absorber providing superior handling and ride comfort."
461,Windshield Wiper Blade,WB-461,CleanView,Exterior,Rubber,0.2 kg,15.00,"Aerodynamic windshield wiper blade for streak-free visibility."
462,Headlight Assembly,HA-462,LightWorks,Electrical,Plastic,1.5 kg,100.00,"Complete headlight assembly for enhanced visibility and safety."
463,Air Filter,AF-463,AirFlow,Engine,Paper,0.4 kg,18.00,"High-efficiency air filter designed to improve engine performance and fuel economy."
464,Transmission Filter,TF-464,AutoPartsCo,Transmission,Steel,0.6 kg,30.00,"Transmission filter designed for effective filtration and smooth gear shifting."
465,Catalytic Converter,CC-465,EmissionPro,Exhaust,Stainless Steel,3.0 kg,220.00,"High-efficiency catalytic converter for reduced emissions and improved performance."
466,Power Steering Pump,PSP-466,SteerRight,Steering,Aluminum,3.0 kg,120.00,"Reliable power steering pump providing effortless steering and control."
467,Oil Pan,OP-467,EngineMasters,Engine,Steel,5.0 kg,150.00,"Durable oil pan designed for optimal oil containment and engine protection."
468,Clutch Kit,CK-468,AutoPartsCo,Transmission,Composite,3.5 kg,200.00,"Complete clutch kit for smooth engagement and enhanced performance."
469,Rearview Mirror,RVM-469,ClearView,Interior,Plastic,0.3 kg,20.00,"Adjustable rearview mirror for improved driver visibility."
470,Door Handle,DH-470,AutoPartsCo,Exterior,Plastic,0.2 kg,12.00,"Ergonomically designed door handle for easy access."
471,Fuel Tank,FT-471,FuelFlow,Fuel System,Steel,10.0 kg,300.00,"Robust fuel tank designed for safe fuel storage and distribution."
472,Engine Mount,EM-472,MountPro,Engine,Rubber,1.5 kg,50.00,"Engine mount designed to reduce vibrations and secure engine positioning."
473,HVAC Blower Motor,BM-473,ClimateControl,Electrical,Plastic,1.0 kg,70.00,"Efficient blower motor for optimal cabin air circulation and temperature control."
474,Trunk Lid,TL-474,AutoPartsCo,Exterior,Steel,8.0 kg,250.00,"Sturdy trunk lid designed for durability and easy access to cargo."
475,Bumper Cover,BC-475,BodyWorks,Exterior,Plastic,2.5 kg,150.00,"Lightweight bumper cover designed for impact resistance and aesthetics."
476,Air Conditioning Compressor,ACC-476,ClimateControl,HVAC,Aluminum,5.5 kg,250.00,"High-efficiency compressor for optimal air conditioning performance."
477,Ignition Coil,IC-477,IgnitePro,Electrical,Plastic,0.5 kg,35.00,"High-performance ignition coil for improved engine ignition and efficiency."
478,Brake Line,BL-478,BrakeMasters,Brakes,Steel,1.0 kg,40.00,"Durable brake line designed for optimal hydraulic performance."
479,Oxygen Sensor,OS-479,EmissionPro,Exhaust,Plastic,0.2 kg,50.00,"Precision oxygen sensor for accurate emissions control and engine performance."
480,Timing Chain,TC-480,EngineMasters,Engine,Steel,0.4 kg,22.00,"Durable timing chain designed for precise timing and engine synchronization."
481,Car Battery,CB-481,PowerGen,Electrical,Lead Acid,12.0 kg,120.00,"Reliable car battery providing dependable starting power and electrical support."
482,Fender,F-482,BodyWorks,Exterior,Steel,4.0 kg,100.00,"Sturdy fender designed to protect from debris and enhance vehicle aesthetics."
483,Sunroof Assembly,SA-483,AutoPartsCo,Exterior,Glass,5.0 kg,300.00,"Electric sunroof assembly for enhanced cabin lighting and airflow."
484,Rear Suspension Arm,RSA-484,SuspensionPro,Suspension,Aluminum,2.5 kg,90.00,"Lightweight suspension arm for improved handling and stability."
485,Side Mirror,SM-485,ClearView,Exterior,Plastic,0.5 kg,30.00,"Adjustable side mirror for enhanced visibility and safety."
486,Windshield,WS-486,AutoGlass,Exterior,Glass,9.0 kg,200.00,"High-strength windshield designed for safety and clarity."
487,Fuel Pump,FP-487,FuelFlow,Fuel System,Plastic,1.5 kg,80.00,"Electric fuel pump for reliable fuel delivery and performance."
488,Engine Oil,EO-488,LubriMax,Engine,Liquid,1.0 kg,10.00,"High-performance engine oil designed for optimal lubrication and protection."
489,Dash Cover,DC-489,InteriorPro,Interior,Plastic,1.2 kg,40.00,"Custom dash cover designed to protect and enhance interior aesthetics."
490,Transmission Mount,TM-490,MountPro,Transmission,Rubber,1.0 kg,45.00,"Transmission mount designed to reduce vibrations and secure transmission positioning."
491,Battery Terminal,BT-491,PowerGen,Electrical,Lead,0.1 kg,5.00,"Durable battery terminal for secure electrical connections."
492,Clutch Slave Cylinder,CSC-492,AutoPartsCo,Transmission,Aluminum,1.0 kg,75.00,"Reliable clutch slave cylinder for smooth gear shifting."
493,Exhaust Tip,ET-493,ExhaustPro,Exhaust,Stainless Steel,0.5 kg,25.00,"Stylish exhaust tip designed to enhance exhaust flow and aesthetics."
494,Spindle,SP-494,ChassisPro,Chassis,Steel,3.0 kg,70.00,"Robust spindle designed for precise wheel alignment and handling."
495,Brake Caliper,BC-495,BrakeMasters,Brakes,Aluminum,1.8 kg,100.00,"High-performance brake caliper for improved stopping power."
496,Interior Light,IL-496,LightWorks,Electrical,Plastic,0.3 kg,15.00,"LED interior light for enhanced cabin visibility."
497,Parking Brake Cable,PBC-497,BrakeMasters,Brakes,Steel,0.5 kg,25.00,"Durable parking brake cable designed for reliable brake engagement."
498,Power Window Motor,PWM-498,WindowWorks,Electrical,Plastic,1.0 kg,50.00,"Efficient power window motor for smooth window operation."
499,Tailgate Handle,TH-499,AutoPartsCo,Exterior,Plastic,0.3 kg,20.00,"Ergonomically designed tailgate handle for easy access."
500,Seat Cover,SC-500,InteriorPro,Interior,Fabric,0.8 kg,40.00,"High-quality seat cover designed for comfort and protection."
501,Cabin Air Filter,CAF-501,AirFlow,Interior,Paper,0.3 kg,15.00,"High-efficiency cabin air filter for improved air quality inside the vehicle."
502,Shock Mount,SM-502,SuspensionPro,Rubber,0.6 kg,30.00,"Durable shock mount designed to absorb vibrations and enhance ride comfort."
503,Wheel Lug Nut,WLN-503,AutoPartsCo,Chassis,Steel,0.1 kg,1.00,"Heavy-duty wheel lug nut for secure wheel attachment."
504,Fuel Tank Cap,FTC-504,FuelFlow,Fuel System,Plastic,0.2 kg,10.00,"Secure fuel tank cap designed to prevent leaks and evaporation."
505,Bumper Reinforcement,BR-505,BodyWorks,Steel,3.0 kg,100.00,"Reinforced bumper for enhanced protection and impact resistance."
506,Carpet Floor Mats,CFM-506,InteriorPro,Interior,Fabric,1.5 kg,50.00,"Custom-fit carpet floor mats for interior protection and aesthetics."
