id,name,part_number,manufacturer,category,material,weight,price,detailed_description
190,Fuel Tank Vent Control Valve Assembly Kit,FTVCVA-190,FuelFlow,Fuel System,Plastic,0.6 kg,25.00,"Fuel tank vent control valve assembly kit designed for reliable fuel tank venting."
191,GPS Navigation Device,GPS-191,NavMaster,Electronics,Plastic,0.7 kg,170.00,"Advanced GPS navigation device designed for accurate and reliable navigation."
192,Backup Camera System,BC-192,VisionPro,Electronics,Plastic,0.4 kg,60.00,"Backup camera system designed for improved rear visibility and safety."
193,Parking Sensor Array,PS-193,SensorGuard,Electronics,Plastic,0.3 kg,40.00,"Parking sensor array designed for accurate and reliable parking assistance."
194,Bluetooth Module Set,BT-194,ConnectPro,Electronics,Plastic,0.2 kg,30.00,"Bluetooth module set designed for wireless connectivity and convenience."
195,USB Port Set,USB-195,ConnectPro,Electronics,Plastic,0.2 kg,20.00,"USB port set designed for easy and convenient device charging and connectivity."
196,Auxiliary Input Set,AUX-196,ConnectPro,Electronics,Plastic,0.2 kg,20.00,"Auxiliary input set designed for easy and convenient audio connectivity."
197,Cigarette Lighter Adapter,CL-197,PowerPlus,Electrical,Plastic,0.2 kg,15.00,"Plastic cigarette lighter adapter designed for convenient power access."
198,Fuse Box Assembly,FB-198,PowerGuard,Electrical,Plastic,0.7 kg,30.00,"Plastic fuse box assembly designed for safe and reliable electrical protection."
199,Battery Cable Assembly,BC-199,PowerPlus,Electrical,Copper,0.7 kg,25.00,"Copper battery cable assembly designed for reliable electrical connection."
200,Spark Plug Wire Assembly,SPW-200,SparkMaster,Ignition,Copper,0.4 kg,20.00,"Copper spark plug wire assembly designed for reliable ignition and performance."
201,Distributor Cap Assembly,DC-201,SparkMaster,Ignition,Plastic,0.4 kg,25.00,"Plastic distributor cap assembly designed for reliable ignition timing."
202,Ignition Coil Assembly,IC-202,SparkMaster,Ignition,Plastic,0.7 kg,40.00,"Ignition coil assembly designed for reliable and powerful spark delivery."
203,Oxygen Sensor Assembly,OS-203,SensorGuard,Exhaust,Ceramic,0.4 kg,60.00,"Ceramic oxygen sensor assembly designed for accurate emissions monitoring."
204,Mass Air Flow Sensor Assembly,MAF-204,SensorGuard,Engine,Plastic,0.5 kg,70.00,"Mass air flow sensor assembly designed for accurate air intake measurement."
205,Throttle Position Sensor Assembly,TPS-205,SensorGuard,Engine,Plastic,0.4 kg,50.00,"Throttle position sensor assembly designed for accurate throttle position monitoring."
206,Crankshaft Position Sensor Assembly,CPS-206,SensorGuard,Engine,Plastic,0.4 kg,40.00,"Crankshaft position sensor assembly designed for accurate engine timing."
207,Camshaft Position Sensor Assembly,CAM-207,SensorGuard,Engine,Plastic,0.4 kg,40.00,"Camshaft position sensor assembly designed for accurate engine timing."
208,Knock Sensor Assembly,KS-208,SensorGuard,Engine,Plastic,0.4 kg,35.00,"Knock sensor assembly designed for accurate engine knock detection."
209,Coolant Temperature Sensor Assembly,CTS-209,SensorGuard,Cooling,Plastic,0.4 kg,30.00,"Coolant temperature sensor assembly designed for accurate engine temperature monitoring."
210,Oil Pressure Sensor Assembly,OPS-210,SensorGuard,Engine,Plastic,0.4 kg,30.00,"Oil pressure sensor assembly designed for accurate oil pressure monitoring."
211,Fuel Pressure Sensor Assembly,FPS-211,SensorGuard,Fuel System,Plastic,0.4 kg,30.00,"Fuel pressure sensor assembly designed for accurate fuel pressure monitoring."
212,MAP Sensor Assembly,MAP-212,SensorGuard,Engine,Plastic,0.4 kg,35.00,"MAP sensor assembly designed for accurate manifold absolute pressure monitoring."
213,EGR Valve Assembly,EGR-213,EmissionPro,Exhaust,Steel,0.7 kg,60.00,"EGR valve assembly designed for reduced emissions and improved engine performance."
214,PCV Valve Assembly,PCV-214,EmissionPro,Exhaust,Plastic,0.3 kg,20.00,"PCV valve assembly designed for reduced emissions and improved engine performance."
215,Charcoal Canister Assembly,CC-215,EmissionPro,Exhaust,Plastic,0.7 kg,40.00,"Charcoal canister assembly designed for reduced emissions and improved engine performance."
216,Air Pump Assembly,AP-216,EmissionPro,Exhaust,Steel,1.3 kg,60.00,"Air pump assembly designed for reduced emissions and improved engine performance."
217,Fuel Pressure Regulator Assembly,FPR-217,FuelFlow,Fuel System,Steel,0.7 kg,40.00,"Fuel pressure regulator assembly designed for accurate fuel pressure control."
218,Fuel Filter Assembly,FF-218,FuelFlow,Fuel System,Paper,0.4 kg,25.00,"Fuel filter assembly designed to remove contaminants and improve fuel system performance."
219,Fuel Pump Relay Assembly,FPR-219,FuelFlow,Fuel System,Plastic,0.3 kg,20.00,"Fuel pump relay assembly designed for reliable fuel pump operation."
220,Fuel Tank Sending Unit Assembly,FTSU-220,FuelFlow,Fuel System,Plastic,0.7 kg,40.00,"Fuel tank sending unit assembly designed for accurate fuel level monitoring."
221,Fuel Injector Seal Assembly,FIS-221,FuelFlow,Fuel System,Rubber,0.3 kg,15.00,"Fuel injector seal assembly designed for reliable fuel injector operation."
222,Fuel Rail Assembly,FR-222,FuelFlow,Fuel System,Aluminum,0.7 kg,60.00,"Aluminum fuel rail assembly designed for reliable fuel delivery."
223,Fuel Return Line Assembly,FRL-223,FuelFlow,Fuel System,Steel,0.7 kg,30.00,"Steel fuel return line assembly designed for reliable fuel return."
224,Fuel Cap Assembly,FC-224,FuelFlow,Fuel System,Plastic,0.3 kg,15.00,"Plastic fuel cap assembly designed for secure and reliable fuel tank sealing."
225,Fuel Gauge Assembly,FG-225,FuelFlow,Fuel System,Plastic,0.4 kg,25.00,"Fuel gauge assembly designed for accurate fuel level monitoring."
226,Fuel Pump Module Assembly,FPM-226,FuelFlow,Fuel System,Plastic,1.3 kg,60.00,"Fuel pump module assembly designed for reliable fuel pump operation."
227,Fuel Injector Cleaner Assembly,FIC-227,FuelFlow,Fuel System,Liquid,0.7 kg,20.00,"Liquid fuel injector cleaner assembly designed to remove deposits and improve fuel system performance."
228,Fuel Additive Assembly,FA-228,FuelFlow,Fuel System,Liquid,0.7 kg,20.00,"Liquid fuel additive assembly designed to improve fuel system performance and efficiency."
229,Fuel Stabilizer Assembly,FS-229,FuelFlow,Fuel System,Liquid,0.7 kg,20.00,"Liquid fuel stabilizer assembly designed to extend fuel life and improve performance."
230,Fuel System Cleaner Assembly,FSC-230,FuelFlow,Fuel System,Liquid,0.7 kg,20.00,"Liquid fuel system cleaner assembly designed to remove deposits and improve performance."
621,Steering Rack Motor,SRM-621,SteerPro,Steering,Steel,6.0 kg,200.00,"Steering rack motor for precise vehicle direction control."
622,Transmission Control Unit Motor,TCUM-622,TransPro,Transmission,Plastic,1.0 kg,90.00,"Transmission control unit motor for smooth gear shifting."
623,Clutch Master Cylinder Motor,CMCM-623,TransPro,Transmission,Cast Iron,1.0 kg,60.00,"Clutch master cylinder motor for clutch engagement control."
624,Alternator Motor,ALTM-624,PowerPro,Electrical,Cast Iron,6.0 kg,150.00,"Alternator motor for vehicle electrical system power generation."
625,Starter Motor Motor,STM-625,PowerPro,Electrical,Cast Iron,4.0 kg,100.00,"Starter motor motor for vehicle engine cranking."
626,Battery Motor,BATM-626,PowerPro,Electrical,Lead Acid,10.0 kg,70.00,"Battery motor for vehicle electrical system power storage."
627,Headlight Assembly Motor,HLA-627,LumPro,Lights,Plastic,1.5 kg,40.00,"Headlight assembly motor for vehicle illumination."
628,Fog Light Assembly Motor,FLM-628,LumPro,Lights,Plastic,0.8 kg,25.00,"Fog light assembly motor for improved visibility in low-light conditions."
629,Taillight Assembly Motor,TLA-629,LumPro,Lights,Plastic,1.2 kg,35.00,"Taillight assembly motor for vehicle rear illumination and signaling."
630,Side Mirror Assembly Motor,SMM-630,MirrorPro,Exterior,Plastic,0.8 kg,50.00,"Side mirror assembly motor for driver visibility and safety."
631,Windshield Wiper Assembly Motor,WWAM-631,WiperPro,Exterior,Plastic,1.0 kg,40.00,"Windshield wiper assembly motor for vehicle windshield cleaning."
632,Sunroof Assembly Motor,SRA-632,RoofPro,Exterior,Glass,12.0 kg,450.00,"Sunroof assembly motor for passenger comfort and natural light."
633,Door Lock Actuator Motor,DLA-633,LockPro,Interior,Plastic,0.5 kg,30.00,"Door lock actuator motor for automatic door locking and unlocking."
634,Power Window Motor Motor,PWM-634,WindowPro,Interior,Plastic,0.8 kg,45.00,"Power window motor motor for automatic window operation."
635,Seat Belt Retractor Motor,SBRM-635,SafetyPro,Safety,Steel,0.6 kg,35.00,"Seat belt retractor motor for passenger safety and comfort."
636,Airbag Module Motor,AMM-636,AirbagPro,Safety,Fabric,1.5 kg,120.00,"Airbag module motor for passenger protection in case of collision."
637,Anti-lock Braking System Hydraulic Unit Motor,ABSHUM-637,BrakePro,Brakes,Steel,2.0 kg,120.00,"Anti-lock braking system hydraulic unit motor for improved vehicle control."
638,Brake Pedal Assembly Motor,BPA-638,BrakePro,Brakes,Steel,0.8 kg,45.00,"Brake pedal assembly motor for driver brake control."
639,Clutch Pedal Assembly Motor,CPA-639,TransPro,Transmission,Steel,0.8 kg,35.00,"Clutch pedal assembly motor for driver clutch control."
640,Accelerator Pedal Assembly Motor,APAM-640,TransPro,Transmission,Steel,0.6 kg,30.00,"Accelerator pedal assembly motor for driver throttle control."
641,Steering Wheel Motor,SWM-641,SteerPro,Steering,Plastic,1.2 kg,80.00,"Steering wheel motor for vehicle direction control and driver comfort."
642,Steering Column Motor,SCM-642,SteerPro,Steering,Steel,4.0 kg,120.00,"Steering column motor for vehicle direction control and driver comfort."
643,Transmission Shift Lever Motor,TSLM-643,TransPro,Transmission,Plastic,0.4 kg,25.00,"Transmission shift lever motor for driver gear selection."
644,Center Console Motor,CCM-644,InteriorPro,Interior,Plastic,2.5 kg,70.00,"Center console motor for driver controls and storage."
645,Dashboard Motor,DBM-645,InteriorPro,Interior,Plastic,4.0 kg,100.00,"Dashboard motor for driver instrument display and controls."
646,Instrument Cluster Motor,ICM-646,InteriorPro,Interior,Plastic,1.5 kg,80.00,"Instrument cluster motor for driver vehicle status display."
647,Head Unit Motor,HUM-647,AudioPro,Entertainment,Plastic,2.0 kg,150.00,"Head unit motor for vehicle audio and entertainment control."
648,Speaker Assembly Motor,SAM-648,AudioPro,Entertainment,Plastic,0.8 kg,40.00,"Speaker assembly motor for vehicle audio playback."
649,Navigation System Motor,NSM-649,NavPro,Entertainment,Plastic,1.2 kg,250.00,"Navigation system motor for driver route guidance and location services."
650,Backup Camera Motor,BCM-650,CamPro,Entertainment,Plastic,0.4 kg,80.00,"Backup camera motor for driver rearview assistance."
651,Air Conditioning Compressor Motor,ACCM-651,ClimatePro,Climate,Steel,4.0 kg,150.00,"Air conditioning compressor motor for vehicle cabin cooling."
652,Heater Core Motor,HCM-652,ClimatePro,Climate,Aluminum,1.5 kg,80.00,"Heater core motor for vehicle cabin heating."
653,Radiator Motor,RADM-653,ClimatePro,Climate,Aluminum,4.0 kg,120.00,"Radiator motor for vehicle engine cooling."
654,Expansion Tank Motor,ETM-654,ClimatePro,Climate,Plastic,0.8 kg,25.00,"Expansion tank motor for vehicle cooling system pressure regulation."
655,Power Window Regulator Motor,PWRM-655,WindowPro,Interior,Plastic,1.2 kg,50.00,"Power window regulator motor for automatic window operation."
656,Power Seat Motor Motor,PSMM-656,SeatPro,Interior,Plastic,1.5 kg,70.00,"Power seat motor motor for driver seat adjustment."
657,Seat Belt Pretensioner Motor,SBPM-657,SafetyPro,Safety,Steel,0.4 kg,40.00,"Seat belt pretensioner motor for passenger safety in case of collision."
658,Side Impact Beam Motor,SIBM-658,SafetyPro,Safety,Steel,2.5 kg,80.00,"Side impact beam motor for vehicle side collision protection."
659,Headlight Washer Assembly Motor,HWAM-659,LumPro,Lights,Plastic,0.4 kg,25.00,"Headlight washer assembly motor for headlight cleaning."
660,Fog Light Washer Assembly Motor,FLWAM-660,LumPro,Lights,Plastic,0.2 kg,15.00,"Fog light washer assembly motor for fog light cleaning."
661,Windshield Wiper Motor Motor,WWMM-661,WiperPro,Exterior,Plastic,0.8 kg,35.00,"Windshield wiper motor motor for vehicle windshield cleaning."
662,Sunroof Motor Motor,SMMM-662,RoofPro,Exterior,Plastic,1.5 kg,80.00,"Sunroof motor motor for sunroof operation."
663,Door Lock Actuator Motor Motor,DLA-663,LockPro,Interior,Plastic,0.4 kg,30.00,"Door lock actuator motor motor for automatic door locking and unlocking."
664,Power Mirror Motor Motor,PMMM-664,MirrorPro,Exterior,Plastic,0.6 kg,45.00,"Power mirror motor motor for automatic side mirror adjustment."
665,Steering Angle Sensor Motor,SASM-665,SteerPro,Steering,Plastic,0.2 kg,35.00,"Steering angle sensor motor for precise vehicle direction control."
666,Vehicle Speed Sensor Motor,VSSM-666,SteerPro,Steering,Plastic,0.2 kg,30.00,"Vehicle speed sensor motor for accurate vehicle speed measurement."
667,Throttle Position Sensor Motor Motor,TPSSM-667,SensorSense,Intake,Plastic,0.2 kg,45.00,"Throttle position sensor motor motor for precise engine control."
668,Camshaft Position Sensor Motor Motor,CMPSSM-668,SensorSense,Engine,Plastic,0.2 kg,40.00,"Camshaft position sensor motor motor for accurate engine timing."
669,Coolant Temperature Sensor Motor Motor,CTSSM-669,SensorSense,Cooling,Plastic,0.2 kg,30.00,"Coolant temperature sensor motor motor for optimal engine cooling."
670,Engine Control Unit Motor Motor,ECUMM-670,ECUPro,Electronics,Plastic,0.8 kg,80.00,"Engine control unit motor motor for managing engine operations."
671,Airbag Control Unit Motor Motor,ACUMM-671,AirbagPro,Electronics,Plastic,0.6 kg,60.00,"Airbag control unit motor motor for passenger safety."
672,Anti-lock Braking System Motor Motor,ABSMM-672,BrakePro,Brakes,Steel,1.2 kg,100.00,"Anti-lock braking system motor motor for improved vehicle control."
673,Brake Master Cylinder Motor Motor,BMCMM-673,BrakePro,Brakes,Cast Iron,1.2 kg,60.00,"Brake master cylinder motor motor for hydraulic brake force multiplication."
674,Power Steering Pump Motor Motor,PSPMM-674,SteerPro,Steering,Cast Iron,2.5 kg,100.00,"Power steering pump motor motor for improved vehicle maneuverability."
675,Steering Rack Motor Motor,SRMM-675,SteerPro,Steering,Steel,5.0 kg,180.00,"Steering rack motor motor for precise vehicle direction control."
676,Transmission Control Unit Motor Motor,TCUMM-676,TransPro,Transmission,Plastic,0.8 kg,75.00,"Transmission control unit motor motor for smooth gear shifting."
677,Clutch Master Cylinder Motor Motor,CMCMM-677,TransPro,Transmission,Cast Iron,0.8 kg,50.00,"Clutch master cylinder motor motor for clutch engagement control."
678,Alternator Motor Motor,ALTM-678,PowerPro,Electrical,Cast Iron,5.0 kg,120.00,"Alternator motor motor for vehicle electrical system power generation."
679,Starter Motor Motor,STM-679,PowerPro,Electrical,Cast Iron,3.5 kg,80.00,"Starter motor motor for vehicle engine cranking."
680,Battery Motor Motor,BATM-680,PowerPro,Electrical,Lead Acid,8.0 kg,60.00,"Battery motor motor for vehicle electrical system power storage."
681,Headlight Assembly Motor Motor,HLA-681,LumPro,Lights,Plastic,1.2 kg,35.00,"Headlight assembly motor motor for vehicle illumination."
682,Fog Light Assembly Motor Motor,FLMM-682,LumPro,Lights,Plastic,0.6 kg,20.00,"Fog light assembly motor motor for improved visibility in low-light conditions."
683,Taillight Assembly Motor Motor,TLA-683,LumPro,Lights,Plastic,1.0 kg,30.00,"Taillight assembly motor motor for vehicle rear illumination and signaling."
684,Side Mirror Assembly Motor Motor,SMMM-684,MirrorPro,Exterior,Plastic,0.6 kg,45.00,"Side mirror assembly motor motor for driver visibility and safety."
685,Windshield Wiper Assembly Motor Motor,WWAMM-685,WiperPro,Exterior,Plastic,0.8 kg,35.00,"Windshield wiper assembly motor motor for vehicle windshield cleaning."
686,Sunroof Assembly Motor Motor,SRA-686,RoofPro,Exterior,Glass,10.0 kg,400.00,"Sunroof assembly motor motor for passenger comfort and natural light."
687,Door Lock Actuator Motor Motor,DLA-687,LockPro,Interior,Plastic,0.4 kg,25.00,"Door lock actuator motor motor for automatic door locking and unlocking."
688,Power Window Motor Motor,PWM-688,WindowPro,Interior,Plastic,0.6 kg,40.00,"Power window motor motor for automatic window operation."
689,Seat Belt Retractor Motor Motor,SBRM-689,SafetyPro,Safety,Steel,0.5 kg,30.00,"Seat belt retractor motor motor for passenger safety and comfort."
690,Airbag Module Motor Motor,AMMM-690,AirbagPro,Safety,Fabric,1.2 kg,100.00,"Airbag module motor motor for passenger protection in case of collision."
691,Anti-lock Braking System Hydraulic Unit Motor Motor,ABSHUMM-691,BrakePro,Brakes,Steel,1.8 kg,100.00,"Anti-lock braking system hydraulic unit motor motor for improved vehicle control."
692,Brake Pedal Assembly Motor Motor,BPA-692,BrakePro,Brakes,Steel,0.6 kg,40.00,"Brake pedal assembly motor motor for driver brake control."
693,Clutch Pedal Assembly Motor Motor,CPA-693,TransPro,Transmission,Steel,0.6 kg,30.00,"Clutch pedal assembly motor motor for driver clutch control."
694,Accelerator Pedal Assembly Motor Motor,APAM-694,TransPro,Transmission,Steel,0.5 kg,25.00,"Accelerator pedal assembly motor motor for driver throttle control."
695,Steering Wheel Motor Motor,SWM-695,SteerPro,Steering,Plastic,1.0 kg,70.00,"Steering wheel motor motor for vehicle direction control and driver comfort."
696,Steering Column Motor Motor,SCM-696,SteerPro,Steering,Steel,3.5 kg,100.00,"Steering column motor motor for vehicle direction control and driver comfort."
697,Transmission Shift Lever Motor Motor,TSLM-697,TransPro,Transmission,Plastic,0.3 kg,20.00,"Transmission shift lever motor motor for driver gear selection."
698,Center Console Motor Motor,CCM-698,InteriorPro,Interior,Plastic,2.0 kg,60.00,"Center console motor motor for driver controls and storage."
699,Dashboard Motor Motor,DBM-699,InteriorPro,Interior,Plastic,3.5 kg,80.00,"Dashboard motor motor for driver instrument display and controls."
700,Instrument Cluster Motor Motor,ICM-700,InteriorPro,Interior,Plastic,1.2 kg,70.00,"Instrument cluster motor motor for driver vehicle status display."
701,Head Unit Motor Motor,HUM-701,AudioPro,Entertainment,Plastic,1.5 kg,120.00,"Head unit motor motor for vehicle audio and entertainment control."
702,Speaker Assembly Motor Motor,SAM-702,AudioPro,Entertainment,Plastic,0.6 kg,35.00,"Speaker assembly motor motor for vehicle audio playback."
703,Navigation System Motor Motor,NSMM-703,NavPro,Entertainment,Plastic,1.0 kg,220.00,"Navigation system motor motor for driver route guidance and location services."
704,Backup Camera Motor Motor,BCMM-704,CamPro,Entertainment,Plastic,0.3 kg,70.00,"Backup camera motor motor for driver rearview assistance."
705,Air Conditioning Compressor Motor Motor,ACCM-705,ClimatePro,Climate,Steel,3.5 kg,120.00,"Air conditioning compressor motor motor for vehicle cabin cooling."
706,Heater Core Motor Motor,HCMM-706,ClimatePro,Climate,Aluminum,1.2 kg,70.00,"Heater core motor motor for vehicle cabin heating."
707,Radiator Motor Motor,RADMM-707,ClimatePro,Climate,Aluminum,3.5 kg,100.00,"Radiator motor motor for vehicle engine cooling."
708,Expansion Tank Motor Motor,ETMM-708,ClimatePro,Climate,Plastic,0.6 kg,20.00,"Expansion tank motor motor for vehicle cooling system pressure regulation."
709,Power Window Regulator Motor Motor,PWRMM-709,WindowPro,Interior,Plastic,1.0 kg,45.00,"Power window regulator motor motor for automatic window operation."
710,Power Seat Motor Motor,PSMMM-710,SeatPro,Interior,Plastic,1.2 kg,65.00,"Power seat motor motor for driver seat adjustment."
711,Seat Belt Pretensioner Motor Motor,SBPM-711,SafetyPro,Safety,Steel,0.3 kg,35.00,"Seat belt pretensioner motor motor for passenger safety in case of collision."
712,Side Impact Beam Motor Motor,SIBM-712,SafetyPro,Safety,Steel,2.0 kg,70.00,"Side impact beam motor motor for vehicle side collision protection."
713,Headlight Washer Assembly Motor Motor,HWAMM-713,LumPro,Lights,Plastic,0.3 kg,20.00,"Headlight washer assembly motor motor for headlight cleaning."
714,Fog Light Washer Assembly Motor Motor,FLWAMM-714,LumPro,Lights,Plastic,0.2 kg,15.00,"Fog light washer assembly motor motor for fog light cleaning."
715,Windshield Wiper Motor Motor,WWMMM-715,WiperPro,Exterior,Plastic,0.6 kg,30.00,"Windshield wiper motor motor for vehicle windshield cleaning."
716,Sunroof Motor Motor,SMMMM-716,RoofPro,Exterior,Plastic,1.2 kg,70.00,"Sunroof motor motor for sunroof operation."
717,Door Lock Actuator Motor Motor,DLA-717,LockPro,Interior,Plastic,0.3 kg,25.00,"Door lock actuator motor motor for automatic door locking and unlocking."
718,Power Mirror Motor Motor,PMMMM-718,MirrorPro,Exterior,Plastic,0.5 kg,40.00,"Power mirror motor motor for automatic side mirror adjustment."
719,Steering Angle Sensor Motor Motor,SASM-719,SteerPro,Steering,Plastic,0.2 kg,30.00,"Steering angle sensor motor motor for precise vehicle direction control."
720,Vehicle Speed Sensor Motor Motor,VSSM-720,SteerPro,Steering,Plastic,0.2 kg,25.00,"Vehicle speed sensor motor motor for accurate vehicle speed measurement."
721,Throttle Position Sensor Motor Motor,TPSSM-721,SensorSense,Intake,Plastic,0.2 kg,40.00,"Throttle position sensor motor motor for precise engine control."
722,Camshaft Position Sensor Motor Motor,CMPSSM-722,SensorSense,Engine,Plastic,0.2 kg,35.00,"Camshaft position sensor motor motor for accurate engine timing."
723,Coolant Temperature Sensor Motor Motor,CTSSM-723,SensorSense,Cooling,Plastic,0.2 kg,25.00,"Coolant temperature sensor motor motor for optimal engine cooling."
724,Engine Control Unit Motor Motor,ECUMMM-724,ECUPro,Electronics,Plastic,0.6 kg,70.00,"Engine control unit motor motor for managing engine operations."
725,Airbag Control Unit Motor Motor,ACUMMM-725,AirbagPro,Electronics,Plastic,0.5 kg,50.00,"Airbag control unit motor motor for passenger safety."
726,Anti-lock Braking System Motor Motor,ABSMMM-726,BrakePro,Brakes,Steel,1.0 kg,90.00,"Anti-lock braking system motor motor for improved vehicle control."
727,Brake Master Cylinder Motor Motor,BMCMMM-727,BrakePro,Brakes,Cast Iron,1.0 kg,55.00,"Brake master cylinder motor motor for hydraulic brake force multiplication."
728,Power Steering Pump Motor Motor,PSPMMM-728,SteerPro,Steering,Cast Iron,2.5 kg,90.00,"Power steering pump motor motor for improved vehicle maneuverability."
729,Steering Rack Motor Motor,SRMMM-729,SteerPro,Steering,Steel,4.5 kg,160.00,"Steering rack motor motor for precise vehicle direction control."
730,Transmission Control Unit Motor Motor,TCUMMM-730,TransPro,Transmission,Plastic,0.6 kg,65.00,"Transmission control unit motor motor for smooth gear shifting."
731,Clutch Master Cylinder Motor Motor,CMCMMM-731,TransPro,Transmission,Cast Iron,0.6 kg,45.00,"Clutch master cylinder motor motor for clutch engagement control."
732,Alternator Motor Motor,ALTM-732,PowerPro,Electrical,Cast Iron,4.5 kg,110.00,"Alternator motor motor for vehicle electrical system power generation."
733,Starter Motor Motor,STM-733,PowerPro,Electrical,Cast Iron,3.0 kg,70.00,"Starter motor motor for vehicle engine cranking."
734,Battery Motor Motor,BATM-734,PowerPro,Electrical,Lead Acid,7.0 kg,55.00,"Battery motor motor for vehicle electrical system power storage."
735,Headlight Assembly Motor Motor,HLA-735,LumPro,Lights,Plastic,1.0 kg,30.00,"Headlight assembly motor motor for vehicle illumination."
736,Fog Light Assembly Motor Motor,FLMM-736,LumPro,Lights,Plastic,0.5 kg,18.00,"Fog light assembly motor motor for improved visibility in low-light conditions."
737,Taillight Assembly Motor Motor,TLA-737,LumPro,Lights,Plastic,0.8 kg,28.00,"Taillight assembly motor motor for vehicle rear illumination and signaling."
738,Side Mirror Assembly Motor Motor,SMMMM-738,MirrorPro,Exterior,Plastic,0.5 kg,40.00,"Side mirror assembly motor motor for driver visibility and safety."
739,Windshield Wiper Assembly Motor Motor,WWAMM-739,WiperPro,Exterior,Plastic,0.6 kg,30.00,"Windshield wiper assembly motor motor for vehicle windshield cleaning."
740,Sunroof Assembly Motor Motor,SRA-740,RoofPro,Exterior,Glass,9.0 kg,350.00,"Sunroof assembly motor motor for passenger comfort and natural light."
741,Door Lock Actuator Motor Motor,DLA-741,LockPro,Interior,Plastic,0.3 kg,20.00,"Door lock actuator motor motor for automatic door locking and unlocking."
742,Power Window Motor Motor,PWM-742,WindowPro,Interior,Plastic,0.5 kg,35.00,"Power window motor motor for automatic window operation."
743,Seat Belt Retractor Motor Motor,SBRM-743,SafetyPro,Safety,Steel,0.4 kg,30.00,"Seat belt retractor motor motor for passenger safety and comfort."
744,Airbag Module Motor Motor,AMMM-744,AirbagPro,Safety,Fabric,1.0 kg,90.00,"Airbag module motor motor for passenger protection in case of collision."
745,Anti-lock Braking System Hydraulic Unit Motor Motor,ABSHUMM-745,BrakePro,Brakes,Steel,1.6 kg,90.00,"Anti-lock braking system hydraulic unit motor motor for improved vehicle control."
746,Brake Pedal Assembly Motor Motor,BPA-746,BrakePro,Brakes,Steel,0.5 kg,35.00,"Brake pedal assembly motor motor for driver brake control."
747,Clutch Pedal Assembly Motor Motor,CPA-747,TransPro,Transmission,Steel,0.5 kg,30.00,"Clutch pedal assembly motor motor for driver clutch control."
748,Accelerator Pedal Assembly Motor Motor,APAM-748,TransPro,Transmission,Steel,0.4 kg,25.00,"Accelerator pedal assembly motor motor for driver throttle control."
749,Steering Wheel Motor Motor,SWM-749,SteerPro,Steering,Plastic,0.8 kg,65.00,"Steering wheel motor motor for vehicle direction control and driver comfort."
750,Steering Column Motor Motor,SCM-750,SteerPro,Steering,Steel,3.0 kg,90.00,"Steering column motor motor for vehicle direction control and driver comfort."
751,Transmission Shift Lever Motor Motor,TSLM-751,TransPro,Transmission,Plastic,0.3 kg,20.00,"Transmission shift lever motor motor for driver gear selection."
752,Center Console Motor Motor,CCM-752,InteriorPro,Interior,Plastic,1.8 kg,55.00,"Center console motor motor for driver controls and storage."
753,Dashboard Motor Motor,DBM-753,InteriorPro,Interior,Plastic,3.0 kg,70.00,"Dashboard motor motor for driver instrument display and controls."
754,Instrument Cluster Motor Motor,ICM-754,InteriorPro,Interior,Plastic,1.0 kg,65.00,"Instrument cluster motor motor for driver vehicle status display."
755,Head Unit Motor Motor,HUM-755,AudioPro,Entertainment,Plastic,1.2 kg,100.00,"Head unit motor motor for vehicle audio and entertainment control."
756,Speaker Assembly Motor Motor,SAM-756,AudioPro,Entertainment,Plastic,0.5 kg,30.00,"Speaker assembly motor motor for vehicle audio playback."
757,Navigation System Motor Motor,NSMM-757,NavPro,Entertainment,Plastic,0.8 kg,180.00,"Navigation system motor motor for driver route guidance and location services."
758,Backup Camera Motor Motor,BCMM-758,CamPro,Entertainment,Plastic,0.3 kg,60.00,"Backup camera motor motor for driver rearview assistance."
759,Air Conditioning Compressor Motor Motor,ACCM-759,ClimatePro,Climate,Steel,3.0 kg,100.00,"Air conditioning compressor motor motor for vehicle cabin cooling."
760,Heater Core Motor Motor,HCMM-760,ClimatePro,Climate,Aluminum,1.0 kg,60.00,"Heater core motor motor for vehicle cabin heating."
761,Radiator Motor Motor,RADMM-761,ClimatePro,Climate,Aluminum,3.0 kg,90.00,"Radiator motor motor for vehicle engine cooling."
762,Expansion Tank Motor Motor,ETMM-762,ClimatePro,Climate,Plastic,0.5 kg,20.00,"Expansion tank motor motor for vehicle cooling system pressure regulation."
763,Power Window Regulator Motor Motor,PWRMM-763,WindowPro,Interior,Plastic,0.8 kg,40.00,"Power window regulator motor motor for automatic window operation."
764,Power Seat Motor Motor,PSMMM-764,SeatPro,Interior,Plastic,1.0 kg,60.00,"Power seat motor motor for driver seat adjustment."
765,Seat Belt Pretensioner Motor Motor,SBPM-765,SafetyPro,Safety,Steel,0.3 kg,30.00,"Seat belt pretensioner motor motor for passenger safety in case of collision."
766,Side Impact Beam Motor Motor,SIBM-766,SafetyPro,Safety,Steel,1.8 kg,65.00,"Side impact beam motor motor for vehicle side collision protection."
767,Headlight Washer Assembly Motor Motor,HWAMM-767,LumPro,Lights,Plastic,0.3 kg,20.00,"Headlight washer assembly motor motor for headlight cleaning."
